,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,movieId
0,0.2062031,0.29657122,0.35523885,0.26937446,0.2650977,0.3167542,0.19184053,0.3512357,0.29395282,0.2081057,0.3660139,0.22379005,0.3829236,0.24362412,0.29965878,0.28145862,0.22480823,0.20020692,0.4806019,0
1,0.21656336,0.2099101,0.31334257,0.28858417,0.22407266,0.3082665,0.21718135,0.2940185,0.24350314,0.19374317,0.30996862,0.20552886,0.29136556,0.2531831,0.23144203,0.22124514,0.19163321,0.24254836,0.27953157,1
2,0.20810439,0.1930486,0.25906318,0.29814696,0.23458642,0.2252138,0.19057399,0.22206308,0.2661975,0.23550302,0.30293038,0.20998465,0.2897664,0.24905299,0.28221518,0.20002793,0.1900586,0.21059498,0.31091243,2
3,0.1762538,0.17613833,0.18615665,0.17396323,0.16836414,0.12428628,0.12957665,0.17642617,0.14404014,0.13633493,0.14541301,0.13236742,0.18588404,0.13021447,0.1252401,0.12610252,0.1288001,0.12983935,0.17872167,3
4,0.22113732,0.25742033,0.2648426,0.22648752,0.19747716,0.24514227,0.22561528,0.2642983,0.22614442,0.22562064,0.29314554,0.21832755,0.29845148,0.24233995,0.23029797,0.21927363,0.20907617,0.24762793,0.26440617,4
5,0.22078134,0.26769438,0.28974217,0.3311805,0.26195788,0.37646154,0.28477803,0.3816152,0.26046687,0.24136509,0.3359052,0.25752273,0.35111636,0.25935993,0.26239336,0.22868343,0.31081754,0.2316675,0.36626765,5
6,0.19005959,0.19215372,0.2594109,0.2818785,0.2072994,0.23196355,0.20503055,0.24053083,0.219777,0.26559222,0.29299694,0.25999752,0.2501935,0.26874974,0.21291542,0.18658789,0.2265416,0.17801861,0.29465774,6
7,0.18308295,0.17994331,0.18949455,0.186528,0.19685768,0.20173714,0.18726985,0.18872274,0.22707449,0.20143372,0.2180258,0.192716,0.1862259,0.17340292,0.23269208,0.2055258,0.18338884,0.17573467,0.20487902,7
8,0.25388506,0.27792445,0.28630498,0.2710694,0.3081763,0.2569048,0.29455802,0.2813544,0.27908945,0.27891454,0.29064447,0.2758377,0.29110998,0.26069584,0.2715775,0.29447693,0.30315372,0.2454577,0.27711195,8
9,0.2378833,0.24565397,0.27464557,0.26808318,0.20917004,0.2647919,0.21023537,0.2842291,0.24078865,0.2678526,0.2971935,0.2634895,0.31067893,0.3015961,0.22490948,0.24764343,0.2589218,0.2427893,0.3016456,9
10,0.2576225,0.2189194,0.2561135,0.3041374,0.22167805,0.2918929,0.2012128,0.25228998,0.26032653,0.21998231,0.35533854,0.24069296,0.35111374,0.22581805,0.26939616,0.21636963,0.2329886,0.2040422,0.26530105,10
11,0.15212435,0.18467303,0.20334199,0.24987635,0.19278817,0.18168882,0.18671866,0.18946184,0.17431158,0.2030024,0.24599327,0.21582323,0.22255194,0.17659788,0.17045806,0.17876805,0.1706322,0.18051758,0.20268512,11
12,0.22430813,0.1949742,0.23949446,0.2072318,0.22697201,0.1927693,0.1971398,0.20674269,0.21325858,0.22325797,0.2290339,0.20656009,0.20922542,0.19473152,0.22454062,0.22520885,0.21243656,0.23815504,0.20801365,12
13,0.2637715,0.25514254,0.29588723,0.26606348,0.24887134,0.25930628,0.29133284,0.26865226,0.27364752,0.27107552,0.27955395,0.30486557,0.29511386,0.29735687,0.26029262,0.24741901,0.24663076,0.27171388,0.26937255,13
14,0.19489779,0.16136281,0.20657296,0.22879483,0.18268365,0.17516525,0.17610341,0.1809733,0.17086248,0.21823254,0.23082273,0.21241911,0.19442675,0.17898536,0.16469584,0.17102864,0.16236855,0.197765,0.19218394,14
