,0,1,2,3,4,5,6,7,8,9,movieId
0,-0.016090918,0.0354249,-0.0061738603,-0.015870154,0.04353744,0.0240818,0.038735893,-0.038827967,-0.025556315,0.0194414,0
1,0.62568694,0.7978809,0.38449094,-0.34281594,-0.2145648,0.29343927,-0.633769,-0.16570185,0.09945083,0.38355044,1
2,0.6291008,0.5936003,0.26194584,-0.18182385,-0.04485334,0.19213675,-0.52378964,-0.2128315,0.08536301,0.39403746,2
3,0.59046984,0.5468568,0.25657684,-0.27438492,-0.06405981,0.08062475,-0.5119443,-0.14853847,0.25941342,0.3743445,3
4,0.29454535,0.240876,0.110666186,-0.117696054,-0.03844158,0.06728759,-0.2510608,-0.12257814,0.14107157,0.29230282,4
5,0.51477224,0.52360255,0.22371043,-0.22200224,-0.12767194,0.13049494,-0.5368136,-0.26605332,0.20566644,0.42364877,5
6,0.67173946,0.7029821,0.3645906,-0.32746157,-0.2055757,0.15640138,-0.5499595,-0.1430819,0.1845474,0.5589205,6
7,0.58140284,0.56179434,0.25360757,-0.22294028,-0.14539805,0.17093082,-0.47109514,-0.15287326,0.14444596,0.41933596,7
8,0.4314763,0.34545594,0.14025453,-0.1354636,-0.010323144,0.125953,-0.3763201,-0.14718808,0.2080307,0.39492813,8
9,0.65191287,0.48286,0.19653647,-0.22637291,0.0010535422,0.21695332,-0.503812,-0.27023947,0.31682903,0.58628654,9
10,0.65309185,0.5385248,0.14797585,-0.22964622,-0.17539507,0.12308267,-0.5660648,-0.1706175,0.2872699,0.447593,10
11,0.6886462,0.52070045,0.21173275,-0.21928641,-0.17276222,0.04090873,-0.5495994,-0.2154892,0.21937333,0.39737472,11
12,0.4638639,0.386959,0.11519375,-0.11201734,-0.049624052,0.098379,-0.41202793,-0.07059068,0.2451823,0.39629862,12
13,0.46800855,0.36563662,0.079309516,-0.16223282,-0.004575856,0.18515062,-0.4181339,-0.15509999,0.2691157,0.3874894,13
14,0.6431728,0.5120891,0.23031287,-0.1618748,-0.005035824,0.13520801,-0.4800275,-0.23277836,0.22605337,0.63002944,14
15,0.44743854,0.34558803,0.15612292,-0.1576997,-0.06086246,0.047328554,-0.35035074,-0.1656201,0.12563401,0.4268708,15
16,0.6906667,0.62108696,0.2125616,-0.32308117,-0.10648967,0.15844232,-0.48436722,-0.124996,0.26116714,0.54726213,16
17,0.62198156,0.6805078,0.10843568,-0.20136386,-0.07499994,0.13910706,-0.52219886,-0.2582765,0.2128329,0.57834,17
